elapsed time,timestamp,topic,value
17.035,1746018915.835000000,/flightmare_control/control_delay_ms.data,22.189855575561523
17.061,1746018915.861000000,/flightmare_control/control_delay_ms.data,18.785715103149414
17.109,1746018915.909000000,/flightmare_control/control_delay_ms.data,57.128190994262695
17.144,1746018915.944000000,/flightmare_control/control_delay_ms.data,29.671430587768555
17.171,1746018915.971000000,/flightmare_control/control_delay_ms.data,16.53575897216797
17.207,1746018916.007000000,/flightmare_control/control_delay_ms.data,25.035858154296875
17.244,1746018916.044000000,/flightmare_control/control_delay_ms.data,29.59299087524414
17.278,1746018916.078000000,/flightmare_control/control_delay_ms.data,40.33970832824707
17.278,1746018916.078000000,/flightmare_control/control_delay_ms.data,15.970945358276367
17.31,1746018916.110000000,/flightmare_control/control_delay_ms.data,19.193172454833984
17.327,1746018916.127000000,/flightmare_control/control_delay_ms.data,15.189886093139648
17.356,1746018916.156000000,/flightmare_control/control_delay_ms.data,44.18373107910156
17.385,1746018916.185000000,/flightmare_control/control_delay_ms.data,13.06605339050293
17.412,1746018916.212000000,/flightmare_control/control_delay_ms.data,37.67061233520508
17.431,1746018916.231000000,/flightmare_control/control_delay_ms.data,19.03843879699707
17.431,1746018916.231000000,/flightmare_control/control_delay_ms.data,22.531986236572266
17.475,1746018916.275000000,/flightmare_control/control_delay_ms.data,31.53848648071289
17.511,1746018916.311000000,/flightmare_control/control_delay_ms.data,26.95465087890625
17.547,1746018916.347000000,/flightmare_control/control_delay_ms.data,40.271759033203125
17.567,1746018916.367000000,/flightmare_control/control_delay_ms.data,27.68111228942871
17.595,1746018916.395000000,/flightmare_control/control_delay_ms.data,23.908138275146484
17.631,1746018916.431000000,/flightmare_control/control_delay_ms.data,17.783403396606445
17.631,1746018916.431000000,/flightmare_control/control_delay_ms.data,21.322011947631836
17.651,1746018916.451000000,/flightmare_control/control_delay_ms.data,15.324115753173828
17.709,1746018916.509000000,/flightmare_control/control_delay_ms.data,20.60985565185547
17.709,1746018916.509000000,/flightmare_control/control_delay_ms.data,32.050132751464844
17.743,1746018916.543000000,/flightmare_control/control_delay_ms.data,29.57439422607422
17.769,1746018916.569000000,/flightmare_control/control_delay_ms.data,23.75316619873047
17.789,1746018916.589000000,/flightmare_control/control_delay_ms.data,25.161266326904297
17.804,1746018916.604000000,/flightmare_control/control_delay_ms.data,28.353214263916016
17.813,1746018916.613000000,/flightmare_control/control_delay_ms.data,21.387100219726562
17.88,1746018916.680000000,/flightmare_control/control_delay_ms.data,67.90733337402344
17.913,1746018916.713000000,/flightmare_control/control_delay_ms.data,18.299102783203125
17.985,1746018916.785000000,/flightmare_control/control_delay_ms.data,83.38356018066406
18.05,1746018916.850000000,/flightmare_control/control_delay_ms.data,42.366981506347656
18.063,1746018916.863000000,/flightmare_control/control_delay_ms.data,27.539491653442383
18.08,1746018916.880000000,/flightmare_control/control_delay_ms.data,15.874147415161133
18.092,1746018916.892000000,/flightmare_control/control_delay_ms.data,16.499042510986328
18.169,1746018916.969000000,/flightmare_control/control_delay_ms.data,44.78931427001953
18.195,1746018916.995000000,/flightmare_control/control_delay_ms.data,33.898353576660156
18.209,1746018917.009000000,/flightmare_control/control_delay_ms.data,19.363880157470703
18.223,1746018917.023000000,/flightmare_control/control_delay_ms.data,32.98640251159668
18.234,1746018917.034000000,/flightmare_control/control_delay_ms.data,18.460988998413086
18.295,1746018917.095000000,/flightmare_control/control_delay_ms.data,31.942367553710938
18.295,1746018917.095000000,/flightmare_control/control_delay_ms.data,21.053552627563477
18.311,1746018917.111000000,/flightmare_control/control_delay_ms.data,19.78302001953125
18.386,1746018917.186000000,/flightmare_control/control_delay_ms.data,60.03904342651367
18.386,1746018917.186000000,/flightmare_control/control_delay_ms.data,16.129732131958008
18.407,1746018917.207000000,/flightmare_control/control_delay_ms.data,16.13450050354004
18.42,1746018917.220000000,/flightmare_control/control_delay_ms.data,14.434337615966797
18.437,1746018917.237000000,/flightmare_control/control_delay_ms.data,16.989469528198242
18.474,1746018917.274000000,/flightmare_control/control_delay_ms.data,17.255306243896484
18.502,1746018917.302000000,/flightmare_control/control_delay_ms.data,30.84254264831543
18.515,1746018917.315000000,/flightmare_control/control_delay_ms.data,23.113489151000977
18.531,1746018917.331000000,/flightmare_control/control_delay_ms.data,19.878387451171875
18.547,1746018917.347000000,/flightmare_control/control_delay_ms.data,23.253679275512695
18.649,1746018917.449000000,/flightmare_control/control_delay_ms.data,65.39607048034668
18.667,1746018917.467000000,/flightmare_control/control_delay_ms.data,37.27078437805176
18.722,1746018917.522000000,/flightmare_control/control_delay_ms.data,61.73133850097656
18.795,1746018917.595000000,/flightmare_control/control_delay_ms.data,24.367332458496094
18.795,1746018917.595000000,/flightmare_control/control_delay_ms.data,23.077964782714844
18.811,1746018917.611000000,/flightmare_control/control_delay_ms.data,35.421133041381836
18.863,1746018917.663000000,/flightmare_control/control_delay_ms.data,28.977155685424805
18.878,1746018917.678000000,/flightmare_control/control_delay_ms.data,37.52851486206055
18.894,1746018917.694000000,/flightmare_control/control_delay_ms.data,26.658058166503906
18.908,1746018917.708000000,/flightmare_control/control_delay_ms.data,21.12126350402832
18.941,1746018917.741000000,/flightmare_control/control_delay_ms.data,17.271757125854492
18.971,1746018917.771000000,/flightmare_control/control_delay_ms.data,27.355432510375977
19.002,1746018917.802000000,/flightmare_control/control_delay_ms.data,17.12656021118164
19.022,1746018917.822000000,/flightmare_control/control_delay_ms.data,16.655445098876953
19.047,1746018917.847000000,/flightmare_control/control_delay_ms.data,35.17031669616699
19.047,1746018917.847000000,/flightmare_control/control_delay_ms.data,22.648334503173828
19.111,1746018917.911000000,/flightmare_control/control_delay_ms.data,67.60454177856445
19.148,1746018917.948000000,/flightmare_control/control_delay_ms.data,31.101465225219727
19.166,1746018917.966000000,/flightmare_control/control_delay_ms.data,19.00625228881836
19.211,1746018918.011000000,/flightmare_control/control_delay_ms.data,18.099546432495117
19.226,1746018918.026000000,/flightmare_control/control_delay_ms.data,50.11892318725586
19.26,1746018918.060000000,/flightmare_control/control_delay_ms.data,24.025917053222656
19.31,1746018918.110000000,/flightmare_control/control_delay_ms.data,22.879600524902344
19.319,1746018918.119000000,/flightmare_control/control_delay_ms.data,34.131765365600586
19.352,1746018918.152000000,/flightmare_control/control_delay_ms.data,31.40997886657715
19.38,1746018918.180000000,/flightmare_control/control_delay_ms.data,18.48626136779785
19.424,1746018918.224000000,/flightmare_control/control_delay_ms.data,26.29566192626953
19.424,1746018918.224000000,/flightmare_control/control_delay_ms.data,33.22720527648926
19.457,1746018918.257000000,/flightmare_control/control_delay_ms.data,22.03226089477539
19.509,1746018918.309000000,/flightmare_control/control_delay_ms.data,23.55813980102539
19.524,1746018918.324000000,/flightmare_control/control_delay_ms.data,60.614824295043945
19.572,1746018918.372000000,/flightmare_control/control_delay_ms.data,15.494585037231445
19.581,1746018918.381000000,/flightmare_control/control_delay_ms.data,29.48594093322754
19.621,1746018918.421000000,/flightmare_control/control_delay_ms.data,27.653932571411133
19.621,1746018918.421000000,/flightmare_control/control_delay_ms.data,22.167682647705078
19.66,1746018918.460000000,/flightmare_control/control_delay_ms.data,28.285741806030273
19.676,1746018918.476000000,/flightmare_control/control_delay_ms.data,15.627145767211914
19.714,1746018918.514000000,/flightmare_control/control_delay_ms.data,22.681236267089844
19.75,1746018918.550000000,/flightmare_control/control_delay_ms.data,21.398305892944336
19.751,1746018918.551000000,/flightmare_control/control_delay_ms.data,16.069889068603516
